"id","file.id","sex","face","name","mean","median","race","age","exposure"
9,"5578",-0.5,0.5,-0.5,860.619047619048,765,"chinese",29,1
10,"5586",-0.5,0.5,-0.5,966.277777777778,947.5,"Asian",21,0
11,"5591",-0.5,0.5,-0.5,974.208333333333,775,"black",22,30
12,"5619",-0.5,0.5,-0.5,931.304347826087,907,"white",29,0
13,"5623",-0.5,0.5,-0.5,947.666666666667,904,"middle eastern",28,0
14,"5630",-0.5,0.5,-0.5,645.863636363636,618.5,"East Asian",23,1
15,"5637",-0.5,0.5,-0.5,607.727272727273,584.5,"African",19,4
16,"5648",-0.5,0.5,-0.5,1222.85714285714,940,"Brown - south asian",23,1
17,"5650",-0.5,0.5,-0.5,1111.125,999.5,"South Asian",25,0
18,"5653",-0.5,0.5,-0.5,694.863636363636,676.5,"Sri Lankan ",19,8
19,"5661",-0.5,0.5,-0.5,985.75,1004.5,"white",21,1
20,"5663",-0.5,0.5,-0.5,1206.45454545455,947,"Caucasian",25,0
21,"8762",0.5,0.5,-0.5,764,715,"chinese",18,1
22,"8763",0.5,0.5,-0.5,819.727272727273,763.5,"South American",18,2
23,"8764",0.5,0.5,-0.5,1224.52941176471,962,"chinese",21,0
24,"8765",0.5,0.5,-0.5,591.909090909091,600,"caucasian",23,0
25,"8766",0.5,0.5,-0.5,873.739130434783,787,"Asian",17,5
26,"8767",0.5,0.5,-0.5,984.608695652174,923,"caucasian ",18,0
27,"8768",0.5,0.5,-0.5,1241.83333333333,1233.5,"asian",21,6
28,"8769",0.5,0.5,-0.5,933.3,867.5,"afghanistan",22,6
29,"8771",-0.5,0.5,-0.5,1668.40909090909,1435,"Asian",19,0
30,"8776",0.5,0.5,-0.5,1070.70833333333,918.5,"Asian ",18,2
31,"8777",0.5,0.5,-0.5,922.583333333333,850,"caucasian",19,1
32,"8778",0.5,0.5,-0.5,857.083333333333,747,"caucasian",18,1
33,"8779",0.5,0.5,-0.5,772.666666666667,768,"Jewish",17,40
34,"8780",0.5,0.5,-0.5,725.652173913043,656,"South Asian",18,5
35,"8781",0.5,0.5,-0.5,600.142857142857,608,"caucasian",20,0
36,"8782",0.5,0.5,-0.5,671.3,627,"East Asian",19,1
37,"8783",0.5,0.5,-0.5,1176.625,966.5,"caucasian",21,4
38,"8784",0.5,0.5,-0.5,687.125,655,"korean",19,5
39,"8785",0.5,0.5,-0.5,657.625,721.5,"East Asian",19,2
40,"8790",-0.5,0.5,-0.5,519.227272727273,508,"Caucasian",20,2
41,"8791",-0.5,0.5,-0.5,758.238095238095,759,"Chinese",22,1
42,"8792",-0.5,0.5,-0.5,1056.36363636364,859,"Caucasian",18,1
43,"8793",0.5,0.5,-0.5,1801,1688,"eastasian",20,0
44,"8796",0.5,0.5,-0.5,912,783.5,"caucasian",17,0
45,"8797",0.5,0.5,-0.5,672.521739130435,659,"Asian, Latin",20,0.5
46,"8798",-0.5,0.5,-0.5,955.5,884,"White",18,0
47,"8799",0.5,0.5,-0.5,1016,992,"Caucasian",20,1
48,"8800",0.5,0.5,-0.5,737.909090909091,699,"hispanic",20,0
49,"8801",-0.5,0.5,-0.5,899.708333333333,819.5,"south asian",26,1
50,"8802",0.5,0.5,-0.5,1053.82608695652,911,"South Asian",18,35
51,"8803",0.5,0.5,-0.5,692.291666666667,649,"african descent (like all humans)",19,2
52,"8804",0.5,0.5,-0.5,711.916666666667,651,"italan and japanese",18,48
1,"5480",-0.5,0.5,0.5,638.913043478261,608,"East African",19,0
