"Insructions","gg1","gg2","gg3","gg4","gg5","gg6","gg7","gg8","gg9","gg10","gg11","gg12","gg13","gg14","gg15","gg16","gg17","gg18","gg19","gg20","gg21","gg22","gg23","gg24","gb1","gb2","gb3","gb4","gb5","gb6","gb7","gb8","gb9","gb10","gb11","gb12","gb13","gb14","gb15","gb16","gb17","gb18","gb19","gb20","gb21","gb22","gb23","gb24","bg1","bg2","bg3","bg4","bg5","bg6","bg7","bg8","bg9","bg10","bg11","bg12","bg13","bg14","bg15","bg16","bg17","bg18","bg19","bg20","bg21","bg22","bg23","bg24","bb1","bb2","bb3","bb4","bb5","bb6","bb7","bb8","bb9","bb10","bb11","bb12","bb13","bb14","bb15","bb16","bb17","bb18","bb19","bb20","bb21","bb22","bb23","bb24","recognize","sex","race","age","exposure","debrief","file.id"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","1","caucasian","21","4","SPACE","8783"
"SPACE","/","/","/","/","/","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","2","1","korean","19","5","SPACE","8784"
"SPACE","Z","/","Z","/","/","/","/","/","Z","/","Z","Z","/","Z","/","/","/","/","/","/","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","/","Z","/","/","Z","Z","Z","Z","/","/","Z","/","Z","/","Z","/","Z","Z","Z","Z","Z","/","/","Z","Z","Z","Z","Z","Z","/","/","/","/","Z","/","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","2","1","East Asian","19","2","SPACE","8785"
"SPACE","/","/","/","/","/","/","/","/","/","/","Z","/","Z","/","/","/","/","Z","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","/","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","2","Caucasian","20","2","SPACE","8790"
"SPACE","/","/","Z","/","/","/","/","/","/","/","/","/","/","/","/","Z","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","Z","/","/","/","/","/","Z","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","2","Chinese","22","1","SPACE","8791"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","2","Caucasian","18","1","SPACE","8792"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","/","/","/","Z","Z","Z","/","/","Z","Z","Z","Z","Z","Z","Z","/","Z","/","Z","Z","Z","Z","/","Z","Z","/","Z","/","/","/","Z","Z","/","Z","/","/","Z","Z","/","Z","/","/","Z","Z","Z","Z","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","1","eastasian","20","0","SPACE","8793"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","1","caucasian","17","0","SPACE","8796"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","Z","Z","Z","Z","/","Z","Z","Z","Z","2","1","Asian, Latin","20","0.5","SPACE","8797"
"SPACE","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","/","/","/","/","/","/","/","/","/","/","/","/","/","/","/","Z","/","/","/","/","/","/","/","/","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","2","2","White","18","0","SPACE","8798"
